,0
0,10.0
1,10.481131341546858
2,10.985411419875584
3,11.513953993264476
4,12.067926406393289
5,12.648552168552959
6,13.257113655901088
7,13.894954943731374
8,14.563484775012437
9,15.264179671752334
10,15.998587196060582
11,16.768329368110084
12,17.57510624854792
13,18.420699693267164
14,19.306977288832496
15,20.235896477251565
16,21.209508879201906
17,22.229964825261945
18,23.29951810515372
19,24.42053094548651
20,25.59547922699536
21,26.826957952797258
22,28.11768697974231
23,29.4705170255181
24,30.888435964774818
25,32.374575428176435
26,33.93221771895328
27,35.564803062231285
28,37.2759372031494
29,39.06939937054617
30,40.94915062380423
31,42.91934260128778
32,44.98432668969444
33,47.14866363457394
34,49.417133613238335
35,51.7947467923121
36,54.286754393238596
37,56.89866029018296
38,59.63623316594643
39,62.505519252739695
40,65.51285568595509
41,68.66488450042998
42,71.96856730011521
43,75.43120063354615
44,79.06043210907697
45,82.86427728546842
46,86.85113737513525
47,91.02981779915217
48,95.40954763499938

